iter	RMSEWithUncertainty	RMSE
0	3.788007327	10.80466464
1	3.766891055	10.68398345
2	3.749065384	10.58037732
3	3.734286394	10.49244787
4	3.720199958	10.41199561
5	3.708822183	10.34342454
6	3.698570691	10.28435142
7	3.688984737	10.22951965
8	3.67978403	10.17882932
9	3.669928521	10.12798738
10	3.660843536	10.08340402
11	3.652695823	10.04275474
12	3.645162491	10.00588276
13	3.637954018	9.969516246
14	3.631455496	9.94082925
15	3.625956227	9.914917454
16	3.620900293	9.888356085
17	3.615641175	9.863361398
18	3.610396825	9.839273618
19	3.605882285	9.816787367
20	3.601067889	9.79386036
21	3.59618736	9.774190721
22	3.592538812	9.754737236
23	3.588582947	9.734876063
24	3.585160043	9.717131308
25	3.58132157	9.702436726
26	3.577917971	9.684802453
27	3.574979948	9.669205336
28	3.571714889	9.65226518
29	3.569014841	9.63881089
30	3.565947912	9.625496478
31	3.563335066	9.614823551
32	3.560749452	9.601155368
33	3.558617946	9.588408909
34	3.555992602	9.576299693
35	3.553422392	9.56715362
36	3.551472569	9.558504426
37	3.549392019	9.54890233
38	3.547093073	9.536942632
39	3.544942054	9.527369261
40	3.543110334	9.517309196
41	3.541044237	9.506656876
42	3.538668056	9.496533791
43	3.537064527	9.487554658
44	3.535166579	9.47989512
45	3.533314938	9.470985123
46	3.531567674	9.463578727
47	3.530159071	9.455863208
48	3.52865812	9.448204434
49	3.526780324	9.440907748
50	3.525400964	9.435133025
51	3.524203393	9.428604484
52	3.522867374	9.423250962
53	3.521538996	9.416980138
54	3.520183901	9.411212337
55	3.519156023	9.406535475
56	3.517964439	9.40136827
57	3.516319096	9.395988388
58	3.5151021	9.390169735
59	3.514125083	9.384274783
60	3.51304347	9.378667882
61	3.512093244	9.374329703
62	3.510999398	9.368036244
63	3.509994647	9.362720768
64	3.509094034	9.358054273
65	3.507956945	9.353434634
66	3.506916245	9.349339157
67	3.505829935	9.344937144
68	3.505185868	9.34087213
69	3.504399738	9.337464154
70	3.503602893	9.334020673
71	3.502823523	9.329379852
72	3.501979576	9.325483508
73	3.501227833	9.32152602
74	3.500464353	9.317298516
75	3.49989657	9.314149801
76	3.499176956	9.310306977
77	3.498531142	9.306479946
78	3.497782743	9.303645288
79	3.49686142	9.299634747
80	3.496238016	9.296188956
81	3.495416518	9.293445653
82	3.494960515	9.290862313
83	3.494049985	9.286965508
84	3.493439784	9.283977244
85	3.492648126	9.280398596
86	3.492075463	9.277242768
87	3.491253593	9.273347432
88	3.490473815	9.270323348
89	3.489954983	9.267303578
90	3.489197504	9.264128005
91	3.488580087	9.261509038
92	3.488096876	9.259033771
93	3.487509304	9.255774035
94	3.486932491	9.252640785
95	3.48617028	9.249736252
96	3.485649869	9.247034351
97	3.485174721	9.244828571
98	3.484702535	9.242756249
99	3.484179697	9.240201806
100	3.483752117	9.23784883
101	3.483322481	9.235445994
102	3.482903656	9.233362183
103	3.482215959	9.230974556
104	3.481665308	9.228053883
105	3.481218305	9.225450237
106	3.480754629	9.223520533
107	3.480102951	9.221709088
108	3.479533334	9.218911006
109	3.479005789	9.216262916
110	3.478418781	9.213266353
111	3.478062761	9.211432389
112	3.477514344	9.20930712
113	3.477018503	9.206742873
114	3.476431256	9.204552399
115	3.476004877	9.202701501
116	3.475610664	9.200614432
117	3.475224146	9.19872443
118	3.474618665	9.196536428
119	3.473781185	9.193388365
120	3.473294602	9.190999162
121	3.472816844	9.189023389
122	3.472349677	9.186946953
123	3.471800263	9.184675677
124	3.471443503	9.182683176
125	3.470989703	9.180500069
126	3.470720896	9.178511308
127	3.470176183	9.176703685
128	3.469687491	9.174635386
129	3.469403635	9.173122926
130	3.468998874	9.171199004
131	3.468632788	9.168537641
132	3.468169427	9.166687214
133	3.46778186	9.164551297
134	3.467287945	9.162575016
135	3.467016439	9.160677875
136	3.466508503	9.158589384
137	3.46598835	9.156777534
138	3.465477268	9.155031623
139	3.465013104	9.152914494
140	3.464789704	9.150935912
141	3.464255545	9.149017497
142	3.463815106	9.147112215
143	3.463436627	9.145085351
144	3.462909817	9.143271509
145	3.462605836	9.141711058
146	3.462282861	9.139620542
147	3.461991996	9.137431959
148	3.461724699	9.135672626
149	3.461320395	9.133672748
150	3.461049875	9.131733788
151	3.460690253	9.129995372
152	3.460346649	9.128462574
153	3.460035045	9.12683163
154	3.459679252	9.125066808
155	3.459376281	9.123638077
156	3.458994291	9.121563214
157	3.458818121	9.120099824
158	3.458327973	9.118095157
159	3.458081119	9.116482343
160	3.457677261	9.114579881
161	3.457511079	9.113091084
162	3.457061269	9.111377368
163	3.456731547	9.10988198
164	3.45635548	9.10845355
165	3.4560374	9.106769834
166	3.455646753	9.105166185
167	3.455348593	9.10382385
168	3.455054266	9.102579384
169	3.454800998	9.101371505
170	3.454365576	9.099667982
171	3.454037897	9.098084206
172	3.453842765	9.096909876
173	3.453477007	9.095524434
174	3.453065837	9.093419708
175	3.452767971	9.091817836
176	3.452427874	9.090260913
177	3.452051657	9.088729252
178	3.451550243	9.087238262
179	3.451131765	9.085804359
180	3.450829486	9.084290463
181	3.450554644	9.082886415
182	3.450335031	9.081791146
183	3.449997231	9.080556018
184	3.449643042	9.07938348
185	3.449478035	9.078380928
186	3.449136847	9.076944736
187	3.448880551	9.075761763
188	3.448690016	9.074565535
189	3.44845621	9.072963308
190	3.448311658	9.071737796
191	3.448066487	9.070463003
192	3.447697562	9.068900732
193	3.447455947	9.067571423
194	3.447139138	9.066444369
195	3.446848992	9.0652893
196	3.446597694	9.063709961
197	3.446364391	9.062566484
198	3.4460415	9.060947362
199	3.445787111	9.059861437
200	3.445461677	9.058514239
201	3.445219544	9.057038551
202	3.444949465	9.055912672
203	3.444755454	9.054679493
204	3.444461112	9.053385857
205	3.444234412	9.052609411
206	3.444035163	9.05144434
207	3.443844939	9.050628176
208	3.44359991	9.049537537
209	3.44337013	9.048181505
210	3.443136729	9.047151431
211	3.442806781	9.045982744
212	3.442603603	9.044675099
213	3.442412137	9.043538008
214	3.442246549	9.042134433
215	3.442050903	9.041103048
216	3.441831811	9.039775988
217	3.441622791	9.038858297
218	3.441436959	9.037871238
219	3.441183153	9.036865882
220	3.440955401	9.035708999
221	3.440709258	9.034616248
222	3.440504559	9.033508479
223	3.440278801	9.032599771
224	3.440098282	9.031307726
225	3.439871254	9.030379847
226	3.439666643	9.029418697
227	3.439500144	9.028332359
228	3.439201091	9.027060152
229	3.4389785	9.026155144
230	3.43879002	9.025061636
231	3.438514168	9.023930863
232	3.438297797	9.022798257
233	3.438084476	9.021744257
234	3.437859336	9.020592916
235	3.437715986	9.019831257
236	3.437573711	9.018751822
237	3.437362986	9.017691433
238	3.437075662	9.016691263
239	3.436815494	9.015757548
240	3.436671137	9.014832191
241	3.436461433	9.013897229
242	3.436273538	9.012764441
243	3.436091391	9.011630247
244	3.435918258	9.010681168
245	3.435771674	9.009820685
246	3.435608343	9.008817036
247	3.435404731	9.007767244
248	3.435315448	9.006834998
249	3.435115656	9.00608037
250	3.434971744	9.004773706
251	3.434754965	9.00376735
252	3.434494429	9.002621166
253	3.434349851	9.001436434
254	3.434183042	9.00042047
255	3.434008959	8.999569804
256	3.433794775	8.998782874
257	3.433614121	8.997899788
258	3.433465149	8.996939451
259	3.433271015	8.995963163
260	3.433027271	8.995016161
261	3.432840706	8.994243329
262	3.43263423	8.993364334
263	3.432484893	8.992465364
264	3.432369411	8.991389515
265	3.43223401	8.990567423
266	3.432079002	8.989534887
267	3.431848534	8.988441858
268	3.431678311	8.987672656
269	3.43149871	8.986641035
270	3.431270853	8.985594118
271	3.431142922	8.984735283
272	3.430924323	8.98367412
273	3.430757503	8.982619512
274	3.43050832	8.981717659
275	3.430368518	8.98100866
276	3.430142504	8.979951636
277	3.430012653	8.979073786
278	3.42981445	8.978175601
279	3.429606606	8.97705329
280	3.429509377	8.97620974
281	3.429398039	8.975476766
282	3.429285727	8.974831412
283	3.429102239	8.973742178
284	3.429002141	8.973059512
285	3.428847616	8.972268832
286	3.428693893	8.971359464
287	3.428582202	8.970449119
288	3.428358416	8.969467617
289	3.428184126	8.968462513
290	3.428009203	8.967605251
291	3.427863707	8.966725589
292	3.427749517	8.966064813
293	3.427611558	8.965085248
294	3.427507042	8.96427303
295	3.427329016	8.963447767
296	3.42720839	8.962628234
297	3.427057985	8.96175202
298	3.426870587	8.961036808
299	3.426743546	8.960261734
300	3.426595089	8.959328456
301	3.426465138	8.958539672
302	3.426292716	8.957716011
303	3.426228336	8.957182678
304	3.426075748	8.956513678
305	3.425977647	8.95572747
306	3.425872197	8.954775922
307	3.425726157	8.954055007
308	3.425532532	8.953258488
309	3.425354413	8.952688808
310	3.425136616	8.95182633
311	3.425014811	8.950990319
312	3.424836954	8.950225131
313	3.424673966	8.949414373
314	3.42449195	8.948608549
315	3.424333226	8.947828537
316	3.424152929	8.94711217
317	3.423948165	8.946403476
318	3.42378051	8.945575209
319	3.423658507	8.944887279
320	3.423536151	8.944022005
321	3.423380081	8.943232121
322	3.423303439	8.942416464
323	3.423166259	8.941716271
324	3.423030045	8.941023037
325	3.422840633	8.940227634
326	3.422710726	8.93949805
327	3.422619806	8.938785232
328	3.422415262	8.938077691
329	3.422290181	8.937258429
330	3.422094663	8.936577256
331	3.421980173	8.935810048
332	3.421835277	8.93511725
333	3.421689332	8.934290857
334	3.421602279	8.933552645
335	3.421446007	8.932741772
336	3.421326232	8.932082327
337	3.421207031	8.931287822
338	3.421014612	8.930349094
339	3.420863567	8.929563209
340	3.420702457	8.929009071
341	3.420553342	8.928384942
342	3.420398969	8.927769077
343	3.420345161	8.927107398
344	3.420267745	8.926664591
345	3.420154053	8.925916674
346	3.420068241	8.925183361
347	3.419965063	8.924621355
348	3.419837124	8.923917895
349	3.419703762	8.923349132
350	3.419600325	8.922592992
351	3.419456795	8.921942383
352	3.419300906	8.921371954
353	3.419174189	8.920737156
354	3.419091813	8.920065722
355	3.418933619	8.919431181
356	3.418836487	8.918821257
357	3.418713277	8.918084199
358	3.418626165	8.917407446
359	3.418509272	8.91673693
360	3.418404727	8.916186536
361	3.418324115	8.915553856
362	3.418222021	8.914979658
363	3.418139122	8.914203017
364	3.417982373	8.913468608
365	3.417866642	8.912870405
366	3.417778176	8.912192759
367	3.417619548	8.911451817
368	3.41749609	8.910882951
369	3.41737474	8.910141234
370	3.417278095	8.909437824
371	3.417136881	8.908791449
372	3.4169708	8.908160467
373	3.416895906	8.907488688
374	3.416789128	8.906884781
375	3.416700167	8.90639269
376	3.416563445	8.905890529
377	3.416431449	8.905251355
378	3.416343959	8.904651943
379	3.416223696	8.903997265
380	3.416145698	8.903566466
381	3.41591827	8.902800307
382	3.415802813	8.902041393
383	3.4156526	8.901371906
384	3.415544004	8.900768627
385	3.415422465	8.900140551
386	3.415349735	8.89966164
387	3.415225232	8.899074911
388	3.415164535	8.898386833
389	3.415021568	8.897779156
390	3.414914642	8.897226734
391	3.414828215	8.896453176
392	3.414678543	8.895850766
393	3.414583134	8.895192951
394	3.414502152	8.894681821
395	3.414398038	8.894076389
396	3.414257079	8.893489454
397	3.41413448	8.89298608
398	3.414036523	8.892285097
399	3.413918906	8.891690861
400	3.413821705	8.891144553
401	3.413700664	8.890453424
402	3.413613446	8.889914096
403	3.413473386	8.889245948
404	3.413353859	8.888602222
405	3.413268381	8.88789498
406	3.413175883	8.887293694
407	3.413047401	8.886633475
408	3.412925322	8.886009992
409	3.412767943	8.88538972
410	3.412658122	8.884774343
411	3.41255873	8.884157561
412	3.412484817	8.883659189
413	3.412362812	8.883067603
414	3.41227019	8.882447369
415	3.412187248	8.88168229
416	3.412034778	8.8810266
417	3.411914371	8.880514059
418	3.411790921	8.879808632
419	3.411729231	8.879317008
420	3.411645334	8.878779785
421	3.411512079	8.878144721
422	3.411393328	8.877666996
423	3.41131419	8.877190235
424	3.411125947	8.876625093
425	3.411001861	8.875976778
426	3.410919818	8.875444551
427	3.410772408	8.874853292
428	3.410503543	8.874033689
429	3.41039954	8.873423782
430	3.410280675	8.87273342
431	3.410159682	8.872153258
432	3.409989657	8.871531587
433	3.409855054	8.870839828
434	3.409733325	8.87038249
435	3.409626447	8.869791624
436	3.409565258	8.869213971
437	3.409457905	8.868581697
438	3.40926693	8.86791601
439	3.409177121	8.867194619
440	3.409089246	8.866646859
441	3.40896624	8.866207933
442	3.408879739	8.865798902
443	3.408777429	8.865218026
444	3.408677901	8.864675531
445	3.40857882	8.864181876
446	3.408460644	8.863672658
447	3.408393086	8.862955122
448	3.408300331	8.862455802
449	3.408207513	8.861861849
450	3.408087523	8.861295702
451	3.408020431	8.860743515
452	3.407932689	8.860229393
453	3.407849457	8.859644892
454	3.40776419	8.859145848
455	3.407627039	8.858590193
456	3.407502297	8.857975035
457	3.407379072	8.857399803
458	3.407179448	8.856831558
459	3.406994852	8.856241619
460	3.406868791	8.855722577
461	3.40675269	8.855142152
462	3.406597303	8.854444554
463	3.406500225	8.853956561
464	3.406390416	8.853380079
465	3.406292478	8.852720404
466	3.406193707	8.85223758
467	3.406089547	8.851611515
468	3.405999363	8.851167868
469	3.405869237	8.850729792
470	3.405796986	8.850125613
471	3.405721523	8.84970639
472	3.405642295	8.849241816
473	3.405513986	8.848636899
474	3.405366306	8.848093064
475	3.405107734	8.847460829
476	3.404974106	8.847049971
477	3.40491416	8.846687649
478	3.404843315	8.846317116
479	3.404762247	8.845826647
480	3.404729291	8.845305125
481	3.404613392	8.844815858
482	3.404569135	8.844348109
483	3.404521854	8.843876282
484	3.404419312	8.843416868
485	3.404289699	8.842675763
486	3.404193659	8.842199272
487	3.404113463	8.841719636
488	3.404031341	8.841266291
489	3.403941939	8.840808848
490	3.403896923	8.840151541
491	3.403773661	8.839563452
492	3.403657568	8.83897961
493	3.403544192	8.838542463
494	3.403430784	8.837933099
495	3.403342592	8.837374928
496	3.403213411	8.836890069
497	3.403129637	8.836338226
498	3.403031464	8.835858555
499	3.40291453	8.835431631
500	3.402842631	8.834880065
501	3.40272923	8.834333316
502	3.402637606	8.833715826
503	3.402534521	8.833148287
504	3.402444871	8.832557994
505	3.40235391	8.832062932
506	3.402285684	8.831533345
507	3.402199156	8.831061705
508	3.402087155	8.830526449
509	3.401992825	8.830077406
510	3.401907081	8.829653799
511	3.401791301	8.829123649
512	3.401680712	8.828589392
513	3.401568421	8.828039663
514	3.401494778	8.827508816
515	3.401396931	8.82696631
516	3.40131159	8.826463878
517	3.401251963	8.825780002
518	3.401162268	8.82531084
519	3.401062232	8.824866308
520	3.400937928	8.824257249
521	3.400857457	8.823754618
522	3.400791579	8.823297837
523	3.400694025	8.822790244
524	3.40063655	8.82229993
525	3.400562749	8.821786462
526	3.400447059	8.821246047
527	3.400355459	8.820787409
528	3.400283706	8.820315331
529	3.400221514	8.819797975
530	3.400109824	8.819387301
531	3.4000441	8.818957399
532	3.399966209	8.818525073
533	3.39990522	8.818175863
