iter	Passed	Remaining
0	134	133937
1	332	165767
2	517	172139
3	681	169627
4	848	168868
5	1015	168264
6	1169	165889
7	1378	170916
8	1539	169483
9	1720	170373
10	1866	167816
11	2051	168923
12	2193	166500
13	2372	167075
14	2507	164678
15	2664	163845
16	2851	164895
17	3000	163676
18	3183	164370
19	3305	161946
20	3474	161997
21	3646	162106
22	3793	161145
23	3946	160477
24	4094	159687
25	4214	157894
26	4349	156743
27	4507	156476
28	4655	155870
29	4816	155724
30	4944	154557
31	5081	153721
32	5194	152222
33	5330	151459
34	5437	149919
35	5592	149752
36	5727	149061
37	5844	147963
38	5995	147724
39	6113	146717
40	6260	146432
41	6371	145326
42	6531	145365
43	6643	144343
44	6772	143729
45	6918	143486
46	7106	144096
47	7232	143443
48	7425	144124
49	7567	143785
50	7750	144216
51	7877	143613
52	7987	142721
53	8102	141945
54	8306	142718
55	8427	142068
56	8557	141569
57	8712	141508
58	8849	141140
59	9024	141387
60	9187	141432
61	9294	140613
62	9421	140128
63	9533	139428
64	9704	139599
65	9864	139599
66	9997	139223
67	10194	139730
68	10288	138817
69	10439	138697
70	10590	138577
71	10720	138172
72	10863	137950
73	11002	137682
74	11182	137923
75	11297	137351
76	11446	137213
77	11562	136672
78	11711	136533
79	11859	136380
80	11968	135791
81	12141	135924
82	12282	135703
83	12418	135423
84	12524	134819
85	12680	134772
86	12793	134256
87	12943	134137
88	13096	134055
89	13208	133553
90	13374	133599
91	13483	133080
92	13627	132904
93	13788	132895
94	13931	132719
95	14131	133074
96	14225	132424
97	14356	132137
98	14494	131912
99	14652	131871
100	14795	131692
101	14918	131341
102	15051	131076
103	15170	130697
104	15320	130591
105	15426	130109
106	15557	129836
107	15720	129837
108	15867	129708
109	16012	129554
110	16135	129231
111	16271	129006
112	16412	128834
113	16533	128498
114	16707	128577
115	16881	128648
116	17008	128360
117	17116	127939
118	17285	127969
119	17423	127774
120	17573	127662
121	17695	127351
122	17846	127245
123	17982	127040
124	18151	127058
125	18299	126931
126	18399	126481
127	18547	126354
128	18663	126017
129	18791	125756
130	18937	125620
131	19077	125451
132	19316	125923
133	19535	126253
134	19700	126226
135	19849	126102
136	20010	126054
137	20131	125747
138	20294	125709
139	20468	125736
140	20595	125470
141	20716	125174
142	20872	125090
143	21040	125073
144	21201	125013
145	21340	124826
146	21514	124843
147	21644	124600
148	21777	124378
149	21908	124149
150	22022	123819
151	22143	123538
152	22291	123401
153	22417	123149
154	22541	122888
155	22636	122470
156	22818	122520
157	22939	122245
158	23063	121988
159	23176	121676
160	23314	121497
161	23431	121204
